track_name,track_number,track_popularity,explicit,artist_popularity,artist_followers,album_total_tracks,album_type,track_duration_min
Pick A Side,1,46,1,29,6670,1,2,2.33
Something Must Sup,1,28,0,13,290,1,2,2.99
Still on the go,1,27,0,12,6,1,2,3.66
superstar,1,68,1,74,1377042,3,2,2.82
Touch Bress,1,26,1,14,192,1,2,3.16
Hot (Cut Water),1,24,1,8,13,1,2,1.7
Don't Need Him,1,36,1,23,2256,1,2,2.57
gigolo,1,77,1,78,2730121,1,2,1.97
"I´m the Boss, You Know",1,17,1,6,3,1,2,2.21
Wall Flowers,1,56,0,45,73003,1,2,3.0
My New Ex,1,50,0,45,27570,1,2,3.2
Need You Know,12,43,0,49,1874,14,0,2.6
Picture,14,35,0,49,1855,14,0,2.92
You Make It Easy,11,39,0,49,1874,14,0,2.08
Chicken Fried,8,41,0,49,1866,14,0,2.59
Body,1,36,1,22,90,1,2,2.22
By My Side,1,36,0,19,1413,1,2,2.82
take a dive,1,36,0,24,2803,1,2,2.85
TIT FOR TAT,1,91,1,88,9256589,1,2,2.93
TNA,1,37,1,19,139,1,2,3.03
What You Is,1,74,1,84,14936207,1,2,3.76
Habibi,1,27,0,18,69,1,2,2.83
Come Find Me (with Clementine Douglas),1,68,0,69,354095,1,2,3.45
Did You Cry,6,33,0,20,2448,7,2,2.74
Dracula,1,85,1,84,9509731,3,2,3.42
Feel Like This,1,49,0,34,9375,1,2,2.62
Flip Dat - feat. Babyface Ray,2,52,1,47,2695,4,2,3.21
You Showed Me Love,2,43,0,24,26,24,0,4.51
Let Me Know,1,29,0,15,3150,1,2,3.63
michigan,3,30,0,13,183,4,2,4.42
Movin' On,1,43,0,25,1152,1,2,3.36
MY PEOPLE II,1,41,1,25,569,2,2,2.59
No Shirt,1,39,1,25,10987,1,2,2.81
nothing at all,1,33,1,20,4873,1,2,3.47
San Francisco,1,39,0,23,3112,1,2,3.37
Save Me,1,41,0,23,175,1,2,2.96
SEXIFY,1,38,0,22,2001,1,2,2.05
So Easy (To Fall In Love),5,90,0,88,1499215,12,0,2.81
Rock Show,1,40,1,23,114,1,2,2.58
Rolling Stone,1,34,1,17,1254,1,2,3.08
SEEN THROUGH YOU,1,13,1,4,1909,1,2,2.95
Alive,1,36,0,18,181,1,2,2.81
Don’t Listen,1,37,0,38,6157,1,2,2.9
