track_name,track_number,track_popularity,explicit,artist_popularity,artist_followers,album_total_tracks,album_type,track_duration_min
Let You Down (with Gabry Ponte),1,45,0,56,1057994,1,2,2.48
Never Lose Me,14,71,1,67,1567636,14,0,2.09
Not So Bad,1,26,0,19,610,1,2,2.86
What I Am,1,47,1,77,24105967,1,2,3.52
Fire! (Tribbs Remix),1,42,0,78,41266350,1,2,1.76
don't wanna break up again,3,70,1,90,107389514,13,0,2.9
eternal sunshine,5,73,0,90,107401919,13,0,3.5
Fetish,1,27,0,41,2292,1,2,2.84
Saturn Returns Interlude,4,59,0,90,107374593,13,0,0.7
Spotlight - og version,1,48,0,82,15689879,3,2,2.86
Hate Me - og version,3,44,1,82,15684530,3,2,3.97
i wish i hated you,11,71,0,90,107374593,13,0,2.56
imperfect for you,12,68,1,90,107401919,13,0,3.04
intro (end of the world),1,77,1,90,107374593,13,0,1.54
Journey,1,31,0,77,4777574,22,0,1.86
"yes, and?",9,72,1,90,107401919,13,0,3.58
supernatural,6,82,0,90,107374593,13,0,2.72
the boy is mine,8,79,1,90,107401919,13,0,2.89
true story,7,66,0,90,107401919,13,0,2.72
we can't be friends (wait for your love),10,79,0,90,107374593,13,0,3.81
act ii: date @ 8 (feat. Drake) - remix,1,70,1,62,669148,1,2,3.85
bye,2,73,0,90,107401919,13,0,2.74
LET THE WORLD BURN,1,79,0,72,963679,2,2,2.72
Looking For You,2,49,1,82,15684530,3,2,3.3
ordinary things (feat. Nonna),13,62,0,90,107401919,13,0,2.8
Beautiful Things,1,42,0,42,4171,1,2,2.05
UP!,1,66,0,77,2268298,1,2,2.28
Overcompensate (edit),2,48,0,83,25762646,2,2,3.17
My Love - Slowed + Reverb,1,17,1,31,23317,1,2,5.68
Symphony,1,23,0,41,8658,1,2,2.2
HELLO,1,29,0,21,3925,1,2,2.04
I See Lights,5,42,0,46,141405,20,0,1.92
SLEEP TONIGHT (THIS IS THE LIFE) - with R3HAB and Sam Feldt,1,54,1,53,122782,1,2,2.27
Sorry,1,0,0,44,5733,1,2,2.67
Worm Ride,7,50,0,77,4777574,25,0,2.33
A Time of Quiet Between the Storms,5,60,0,77,4780589,25,0,4.36
Beautiful Things - Acoustic,1,72,0,83,7050520,6,2,3.35
Saturn,1,77,0,87,33043825,5,2,3.1
You Make My Heart Go,1,53,0,48,45292,1,2,2.1
Tell më,10,62,1,79,5976603,22,0,4.06
Darlin',2,69,0,64,468383,6,2,2.75
linger x duvet,1,0,0,29,3595,1,2,1.88
Now,1,35,0,64,84858,1,2,2.91
Prada,1,40,0,42,4170,2,2,2.12
If We Being Rëal,21,75,1,79,5978358,22,0,2.87
Angel Of Darkness,1,33,0,41,11030,1,2,2.18
Austin (Boots Stop Workin'),4,82,1,67,416933,8,0,2.86
Belong Together,1,75,0,66,685131,1,2,2.47
Training Season,1,74,0,85,46886554,4,2,3.49
Whatever She Wants,1,76,1,80,10566213,1,2,2.68
TEXAS HOLD 'EM,1,73,1,84,41172203,1,2,3.89
TEXAS HOLD 'EM,1,58,1,84,41172203,3,2,3.89
Acquainted,17,39,1,93,112918137,36,1,5.81
CARNIVAL,12,10,1,69,1042697,16,0,4.4
Cruel Summer,7,39,0,52,78478,13,1,3.97
Drowning In Us,1,20,0,43,2595,1,2,2.56
Lovin On Me,1,40,0,42,4083,1,2,2.28
make you mine,1,81,0,74,8500847,1,2,3.69
"One Of The Girls (with JENNIE, Lily Rose Depp)",19,62,0,93,112957721,36,1,4.07
Popular (with Playboi Carti & Madonna),26,58,1,93,112957721,36,1,3.59
Song For the Earth,8,43,0,38,71238,8,0,1.08
Tell Ur Girlfriend,1,9,1,63,721666,1,2,2.07
ANGELS LIKE YOU,1,42,0,56,18834,1,2,1.93
exes - Regard Remix,1,50,1,88,9249502,1,2,3.04
Gata Only,1,84,1,76,2186739,1,2,3.7
Memories,1,57,0,75,4156314,1,2,2.99
[Solo-Leveling]SymphonicSuite-Lv.8,1,41,0,65,728021,1,2,2.68
Rescue Light,1,43,1,39,4952,1,2,3.32
Past Lives - K-391 Remix,1,29,0,57,224595,1,2,2.94
Popular (with Playboi Carti & Madonna),1,34,0,93,112957721,5,2,3.59
STAR WALKIN',1,35,1,32,1843,1,2,2.85
ur special to me,1,42,0,74,1378074,4,2,1.9
Marry Me,1,41,0,34,1434,1,2,3.25
HISS,1,61,1,76,10888670,1,2,3.21
Dernière danse - Techno Mix,1,72,0,69,2546276,1,2,3.28
FUNKED UP - SLOWED,3,71,0,58,462135,3,2,1.92
Never Let This Go,1,46,0,48,85781,1,2,2.23
Beautiful Things,1,84,0,83,7055537,1,2,3.0
"The Statues of Music (from Solo Leveling"") - Cover""",1,34,0,56,28150,1,2,2.91
Home,1,4,0,66,218657,1,2,2.62
LALALA,1,48,1,56,18840,1,2,2.07
Igual Que Un Ángel (with Peso Pluma),3,76,0,83,9469943,14,0,4.33
Mwaki - Tiësto's VIP Mix,2,65,0,68,174894,3,2,2.67
Not My Fault (with Megan Thee Stallion),13,65,1,72,1261419,13,0,2.84
Wish I Didn't Love You,1,36,0,58,210805,1,2,2.43
"yes, and?",1,71,1,90,107374593,1,2,3.58
redrum,3,78,1,84,23813959,15,0,4.51
Scared To Start,1,79,0,64,274140,1,2,2.66
Talk To My Body,1,45,0,60,110282,1,2,2.45
The Reason,8,83,0,66,2742164,17,0,3.88
Deep In Your Love,1,65,0,76,11247155,1,2,2.41
Don't Call Me Up - LA Vision Remix,1,38,0,55,31871,2,2,2.06
Cheri Cheri Lady - Slowed,1,0,0,45,16330,1,2,3.85
Carsick,1,36,1,61,644963,1,2,2.74
All My Life,1,59,0,80,7978695,1,2,2.44
I Wouldn't Mind (Remix) - Merrily We Fall out of Line,1,0,0,56,139354,1,2,3.24
One Of The Girls X The Hills - Sped Up,2,45,0,59,104869,3,2,2.7
Strangers,13,63,0,79,14039018,17,0,3.57
greedy,1,42,0,42,4083,1,2,1.83
Praise Jah In The Moonlight,1,72,0,56,679601,1,2,4.38
I Wouldn't Mind - wterf11 Remix,1,0,0,59,100865,1,2,3.71
"1, 2, 3 (with Topic)",1,38,0,39,65719,1,2,2.18
act ii: date @ 8,1,63,1,62,668950,1,2,1.89
Animals,1,25,0,51,43179,1,2,3.03
TALK ABOUT SEX,1,47,0,56,18840,2,2,1.9
Made it this far,1,0,0,13,666,1,2,4.79
run for the hills,3,83,1,88,9256589,14,0,2.39
Still Holding Me,1,22,0,41,8657,1,2,2.66
What're We Doing Here,1,0,1,45,35428,1,2,3.08
exes,7,83,1,88,9256589,14,0,2.65
FTCU,3,68,1,84,34293318,22,0,2.86
BELLAKEO,1,71,1,86,23973526,1,2,3.28
Cooler Than Me,1,12,0,47,6622,1,2,2.1
LUNA,6,84,0,86,18885687,10,0,3.28
Montagem Mysterious Game,1,72,0,67,616853,3,2,1.72
When Love Takes Over,1,21,0,28,3312,1,2,2.37
you & i - sped up,2,62,0,62,249255,2,2,2.22
Sweet Lies - Sped Up,1,45,0,37,6268,1,2,2.43
This City,4,61,0,55,341193,15,0,3.26
Never Lose Me,1,71,1,67,1566996,1,2,2.09
I Wanna Go - Techno Version,1,42,0,46,11490,1,2,1.98
La Diabla,1,74,0,76,8453736,1,2,2.87
You’re Losing Me (From The Vault),1,74,0,100,145489371,1,2,4.63
look what you've done to me (feat. Mellina Tey),1,0,0,57,77411,3,2,2.81
therapy,1,35,0,40,7972,1,2,2.28
Time Machine (with MSPUIYI),1,38,0,47,67573,1,2,2.45
Unstoppable,1,27,0,32,1843,1,2,2.45
Strangers,1,41,0,42,4170,1,2,2.34
LET'S GET FKD UP,1,75,1,76,11247155,1,2,2.02
ONE CALL,5,73,1,66,794589,14,0,2.02
exes,1,4,1,88,9256589,2,2,2.65
"Winter, Spring, Summer and Fall",28,35,0,43,23528,35,0,1.81
would've been you,1,79,0,85,2789144,1,2,3.05
Iroh's Tsungi Horn,22,41,0,43,23528,35,0,1.57
Just a Simple Monk,10,31,0,44,23557,35,0,1.13
Agni Kai,8,42,0,43,23528,35,0,3.15
Avatar: The Last Airbender - End Credits,35,34,0,43,23528,35,0,0.87
Avatar: The Last Airbender - Premiere Main Title,1,39,0,43,23528,35,0,1.86
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,1,74,0,84,49050008,17,0,3.42
Solo,1,70,0,74,1322522,1,2,3.32
Water,1,65,0,77,3509163,1,2,3.19
Strong Enough (feat. Bailey Zimmerman),1,58,0,75,7761878,1,2,2.48
THE DRIVER,4,65,0,76,10638829,22,0,3.13
TIMEZONE,8,51,1,76,10636129,22,0,2.99
TRASTEVERE,5,60,0,76,10636129,22,0,3.03
VALENTINE,2,64,0,76,10636129,22,0,3.61
Angel Numbers / Ten Toes,1,77,1,87,28327351,22,0,5.11
"Better Off (Alone, Pt. III)",4,3,0,78,41264069,10,0,2.52
BLA BLA BLA,9,50,1,76,10638829,22,0,3.07
GASOLINE,11,51,0,76,10637574,22,0,3.68
Lovin On Me,1,77,1,75,4349241,1,2,2.3
Mosquito,3,63,0,78,4761364,13,0,2.43
NIGHTS LIKE THIS,8,86,0,79,6595164,20,0,1.44
nostalgia.mp3,1,42,0,28,2843,3,2,1.31
OFF MY FACE,3,65,0,76,10640396,22,0,2.49
RUSH,1,62,0,64,318012,2,2,2.86
GOSSIP (feat. Tom Morello),7,51,1,76,10636129,22,0,2.8
Houdini,1,12,0,85,46891061,1,2,3.09
Pickup Man,1,54,0,56,115659,2,2,3.6
Seven (feat. Latto) (Explicit Ver.),3,83,1,79,18615260,11,0,3.05
Standing Next to You,4,82,0,79,18620976,11,0,3.43
Control,5,68,0,62,579294,20,0,3.84
THE MIST,5,0,1,50,25025,10,0,3.56
THE REPLACEMENT,8,0,1,50,25007,10,0,2.54
THE WITHDRAWALS,6,45,0,50,25025,10,0,2.65
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,1,72,0,84,49050008,1,2,3.42
Celebrate - Beave Remix,1,43,0,25,3680,2,2,2.69
Rain on Me,1,41,0,46,3963,1,2,2.31
Perfect Night,1,76,0,78,7960904,1,2,2.65
Sick Of Your Love,1,0,1,38,33312,2,2,2.27
just for now,1,38,0,23,1867,1,2,3.02
You Don't Belong To Me,6,40,0,56,259120,10,0,3.54
Wildest Dreams (Taylor's Version),9,75,0,100,145542136,21,0,3.67
You Are In Love (Taylor's Version),15,69,0,100,145443567,21,0,4.45
"Slut!"" (Taylor's Version) (From The Vault)""",17,73,0,100,145396321,21,0,3.0
Style (Taylor's Version),3,73,0,100,145443567,21,0,3.85
This Love (Taylor’s Version),11,69,0,100,145443567,21,0,4.16
Clean (Taylor's Version),13,68,0,100,145489371,21,0,4.51
Is It Over Now? (Taylor's Version) (From The Vault),21,72,0,100,145443567,21,0,3.82
someday i'll get it,1,75,0,57,136639,1,2,1.57
Stay,1,46,0,37,794,1,2,2.67
if u think i'm pretty,1,0,0,74,1378074,1,2,2.13
Dance With Me,1,1,0,58,146944,1,2,2.36
DIZZYNUMB,1,24,0,25,19649,1,2,2.6
TOO MUCH,1,63,1,79,6596750,1,2,3.39
TELEFONO NUEVO,10,72,1,95,102571645,22,0,5.91
THUNDER Y LIGHTNING,18,70,1,95,102500980,22,0,3.61
UN PREVIEW,22,67,1,95,102536542,22,0,2.75
VOU 787,7,66,1,95,102536542,22,0,2.06
VUELVE CANDY B,14,69,1,95,102500980,22,0,4.43
CYBERTRUCK,6,71,1,95,102500980,22,0,3.19
EUROPA :),20,13,0,95,102500980,22,0,0.19
FINA,3,74,1,95,102500980,22,0,3.6
WHERE SHE GOES,17,70,1,95,102571645,22,0,3.86
abcdefu (HYPERTECHNO Remix),1,34,1,41,11030,1,2,2.1
ACHO PR,21,70,1,95,102500980,22,0,5.99
BABY NUEVA,11,71,1,95,102500980,22,0,4.01
BATICANO,15,67,1,95,102536542,22,0,4.26
Got Me Started,7,68,1,72,9463246,10,0,3.3
GRACIAS POR NADA,9,66,1,95,102571645,22,0,2.95
HIBIKI,4,72,1,95,102500980,22,0,3.46
LOS PITS,13,69,1,95,102536542,22,0,4.18
MERCEDES CAROTA,12,71,1,95,102500980,22,0,3.37
MONACO,2,80,1,95,102536542,22,0,4.45
MR. OCTOBER,5,72,1,95,102536542,22,0,3.15
NADIE SABE,1,71,1,95,102571645,22,0,6.31
NO ME QUIERO CASAR,16,79,1,95,102500980,22,0,3.76
One in a Million - Alok Remix,1,39,0,76,9839947,2,2,2.38
One Of Your Girls,3,60,0,72,9462835,10,0,3.02
PERRO NEGRO,19,82,1,95,102571645,22,0,2.71
SEDA,8,70,1,95,102500980,22,0,3.17
Rich Baby Daddy (feat. Sexyy Red & SZA),20,78,1,95,103094105,23,0,5.31
You & Me,1,67,0,81,12320084,2,2,2.98
First Person Shooter (feat. J. Cole),6,72,1,95,103039388,23,0,4.12
Beggin',1,0,0,58,146894,1,2,2.1
IDGAF (feat. Yeat),7,75,1,95,103039388,23,0,4.33
3D (feat. Jack Harlow),1,73,1,79,18615260,3,2,3.36
Mahrex of Isoko,4,21,1,9,127,4,2,3.12
abuse me,1,59,0,59,130408,1,2,3.14
無詠唱魔術,1,24,0,40,13575,38,0,2.53
This Kiss,4,38,0,60,1956457,45,1,3.24
Super Graphic Ultra Modern Girl,6,68,0,82,7310428,14,0,3.06
500lbs,4,78,1,79,10166733,16,0,2.4
After Midnight,3,68,0,82,7310428,14,0,3.41
Agora Hills,10,75,1,86,34748949,17,0,4.42
Black Friday,1,72,0,76,4309419,1,2,3.69
California,13,62,0,82,7299563,14,0,3.3
Casual,5,80,1,82,7310428,14,0,3.87
Picture You,9,68,0,82,7299563,14,0,3.11
Pink Pony Club,11,84,0,82,7299563,14,0,4.3
Red Wine Supernova,2,79,1,82,7299563,14,0,3.21
My Kink Is Karma,8,69,0,82,7305071,14,0,3.7
Naked In Manhattan,12,72,1,82,7299563,14,0,3.51
Guilty Pleasure,14,62,0,82,7305071,14,0,3.74
HOT TO GO!,7,76,0,82,7299563,14,0,3.08
Jungle,1,70,0,76,11246962,1,2,2.92
Kaleidoscope,10,64,0,82,7310428,14,0,3.71
Coffee,4,65,0,82,7299563,14,0,3.42
Femininomenon,1,76,1,82,7299563,14,0,3.66
Pink Pony Club,11,83,0,82,7299563,14,0,4.3
Paint The Town Red,1,76,1,86,34748949,15,0,3.84
Agora Hills,9,77,1,86,34742256,15,0,4.42
cross my heart,1,0,0,74,1377042,1,2,2.43
Showed Me (How I Fell In Love With You),9,54,0,75,8508071,14,0,3.26
Where Are You Now,1,29,0,41,49348,1,2,2.34
The Door,4,86,0,83,5674855,10,0,3.54
ANXIETY (feat. Doechii),7,72,1,70,2542055,18,0,2.48
greedy,1,87,1,88,9256589,1,2,2.19
ily - tiktok version,1,34,0,29,60814,4,2,2.56
Lose Control,2,89,0,83,5670437,10,0,3.51
Made For Me,1,69,0,65,972319,1,2,3.13
My Love Mine All Mine,7,86,0,78,11034315,11,0,2.29
older,1,77,0,71,2569728,2,2,2.29
older sped up,2,61,0,71,2570848,2,2,2.08
Sapphire,1,34,0,39,20007,1,2,2.57
Around The World (La La La La),1,51,0,56,18834,2,2,1.88
all-american bitch,1,73,1,85,49067177,12,0,2.76
bad idea right?,2,76,1,85,49083617,12,0,3.07
ballad of a homeschooled girl,5,69,0,84,49050008,12,0,3.38
logical,7,70,0,85,49083617,12,0,3.86
Look What You've Done,1,48,1,59,106672,1,2,1.45
love is embarrassing,9,73,1,85,49067177,12,0,2.57
making the bed,6,78,0,85,49067177,12,0,3.31
From The Start,10,86,0,82,8495493,14,0,2.82
get him back!,8,75,1,85,49067177,12,0,3.51
pretty isn’t pretty,11,77,1,85,49083617,12,0,3.32
teenage dream,12,71,0,84,49050008,12,0,3.7
the grudge,10,75,1,84,49050008,12,0,3.15
vampire,3,84,1,84,49050008,12,0,3.66
lacy,4,81,0,84,49050008,12,0,2.95
Last Time I Saw You,1,52,0,84,34295707,1,2,3.6
Easy On My Heart,1,55,0,72,715424,1,2,2.97
Everybody Supports Women,1,61,0,55,557085,1,2,4.68
girls like me don't cry,1,36,0,38,963,1,2,3.07
Strangers,1,75,0,61,578827,1,2,2.88
Zoro vs Mihawk,4,36,0,49,35497,79,0,3.03
Single Soon,1,65,0,81,53267200,1,2,2.86
A Lot More Free,1,70,0,72,694143,6,2,3.31
About You Now (How I Feel),1,57,0,64,84852,1,2,2.7
On My Mama,7,63,1,61,1263572,11,0,3.07
Code Red,8,58,1,60,284828,14,0,1.96
Daydreamin',7,46,0,90,107389514,19,0,3.52
Dying Star (feat. Ethel Cain),13,52,0,71,2614697,13,0,4.26
The Way (feat. Mac Miller),8,52,0,90,107374593,19,0,3.78
Used To Be Young,1,56,0,81,26561582,1,2,3.18
Honeymoon Avenue,1,48,0,90,107401919,19,0,5.66
I Remember Everything (feat. Kacey Musgraves),11,85,0,84,7325625,16,0,3.78
You Were a Dream,1,60,0,74,1378935,1,2,2.46
Dark World Theme (The Legend of Zelda),4,2,0,8,3263,7,0,1.88
Flowers,1,84,0,81,26564677,14,0,3.34
Flowers (Demo),14,51,0,81,26561582,14,0,3.51
Handstand,7,46,1,81,26558356,14,0,3.42
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),1,84,1,82,17333176,1,2,3.17
Island,12,54,0,81,26561582,14,0,3.99
Jaded,2,65,1,81,26558356,14,0,3.09
Baby Don’t Hurt Me,1,22,0,21,488,1,2,2.47
River,8,59,0,81,26558356,14,0,2.71
Rose Colored Lenses,3,57,0,81,26564677,14,0,3.72
Wildcard,11,50,0,81,26561582,14,0,3.21
Wonder Woman,13,48,0,81,26564677,14,0,3.08
You,6,52,0,81,26561582,14,0,2.99
Lil Boo Thang,1,75,0,58,253726,1,2,1.9
Muddy Feet (feat. Sia),10,49,1,81,26558356,14,0,2.28
Numb,2,50,0,88,31785695,63,1,3.12
Thousand Miles (feat. Brandi Carlile),5,57,0,81,26558356,14,0,3.85
Used To Be Young,4,68,0,81,26558356,14,0,3.18
Violet Chemistry,9,50,0,81,26561582,14,0,4.1
Irish Goodbye (feat. Vic Fuentes of Pierce The Veil),1,39,1,61,644963,3,2,3.04
La Víctima,1,70,1,76,8456647,1,2,2.6
Raw Raw,3,22,1,60,644838,3,2,2.96
Shy,2,22,1,60,644838,3,2,2.8
Prada,1,80,1,64,91131,1,2,2.2
QLONA,5,70,1,87,60358474,10,0,2.87
Eternity,1,52,0,69,1303279,1,2,2.25
FΛSHION,1,1,1,57,461945,1,2,2.44
Back On 74,6,79,0,69,1744522,14,0,3.49
bad idea right?,1,2,1,85,49083617,1,2,3.07
Dream Walk - Instrumental Version,28,47,0,56,55232,43,0,3.94
Endless Summer (LUM!X Remix),1,29,0,78,41264069,1,2,2.62
The Power - Orchestral Version,22,49,0,56,55213,43,0,4.64
I Want to Live - Classical Version,40,50,0,56,55191,43,0,3.99
Last Light,16,45,0,56,55213,43,0,4.95
"Main Theme, Pt. 2",2,47,0,56,55191,43,0,2.19
"Main Theme, Pt. 3",41,43,0,56,55213,43,0,2.86
Who Are You,4,48,0,56,55232,43,0,2.44
Paint The Town Red,1,77,1,86,34735147,1,2,3.86
Safe and Sound - Niklas Dee & Luca-Dante Spadafora Remix,1,50,0,62,73057,1,2,2.52
Heartburn (8D Audio),1,0,0,37,11526,4,2,2.6
Heartburn (Slowed + Reverb),2,0,0,37,11530,4,2,3.21
Pink (Bad Day) [From Barbie The Album],2,38,0,68,5738825,2,2,1.06
Overdrive,9,55,0,85,47716988,17,0,2.46
Something Real,2,59,1,85,47716988,17,0,3.42
Speedometer,10,51,0,86,47720209,17,0,2.7
Buyer Beware,14,51,1,86,47720209,17,0,2.89
Casablanca,1,0,0,58,146914,1,2,2.54
Chemical,3,58,1,85,47716988,17,0,3.05
CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),12,65,1,89,41107596,19,0,4.31
Desire (with Sam Smith),1,69,0,84,23079295,1,2,2.98
FE!N (feat. Playboi Carti),8,83,1,89,41131037,19,0,3.19
Goth (Slowed + Reverb),1,69,0,62,457277,1,2,4.21
Hold My Breath,11,49,0,86,47722935,17,0,3.48
I KNOW ?,10,79,1,89,41107596,19,0,3.52
Laugh It Off,17,56,1,85,47716988,17,0,4.1
TELEKINESIS (feat. SZA & Future),18,76,1,89,41119579,19,0,5.89
Texas Tea,13,61,1,86,47722935,17,0,2.32
Water,1,82,0,77,3505794,1,2,3.33
MELTDOWN (feat. Drake),7,73,1,89,41107596,19,0,4.1
Mourning,5,56,1,86,47722935,17,0,2.46
Novacandy,4,54,1,85,47716988,17,0,3.28
GMFU (w/ 6arelyhuman),1,73,1,74,4573539,1,2,2.12
Another Love x Summertime Sadness - Sped Up,1,54,0,38,10229,1,2,2.11
Suffocation - Sped Up,1,46,0,58,116368,1,2,1.28
Trinity,16,47,0,64,424983,24,0,7.88
WATATI (feat. Aldo Ranks),5,44,0,87,60358474,17,1,2.78
Happy For You,1,38,0,52,78451,5,2,2.84
Hey Blondie,9,46,0,74,2222327,17,1,2.36
Home,10,41,0,65,1436299,17,1,3.76
Journey To The Real World,7,44,0,84,9509731,17,1,1.46
K-POP,1,68,1,89,41107596,1,2,3.08
Pink,1,54,0,68,5739313,17,1,2.39
Quantum Mechanics,4,58,0,64,425177,24,0,3.0
Silver Platter,13,42,0,82,16946293,17,1,2.76
Sleepless (feat. GoldFord),1,48,1,60,157326,1,2,2.29
Speed Drive,4,61,0,82,6315216,17,1,1.96
A Lowly Shoe Salesman,3,55,0,64,424983,24,0,3.56
Angel,14,48,0,78,4761364,17,1,2.06
Barbie Dreams (feat. Kaliii),17,45,0,63,1990839,17,1,2.49
Barbie World (with Aqua),3,50,0,84,34293318,17,1,1.82
BIRTH OF VENUS,6,55,1,49,281826,7,0,3.2
butterflies,15,39,0,58,668804,17,1,2.27
Can You Hear The Music,2,71,0,64,425177,24,0,1.83
Choose Your Fighter,16,61,0,77,7753423,17,1,2.29
Destroyer Of Worlds,23,60,0,64,425177,24,0,2.91
Forever & Again,12,45,0,79,6595164,17,1,2.32
Man I Am,6,45,0,81,26278854,17,1,3.12
Meeting Kitty,6,53,0,64,425177,24,0,5.79
Monsoon (feat. Tokio Hotel),1,51,0,60,220555,1,2,2.72
Mr. Brightside,8,0,0,76,8008992,85,1,3.73
Push (From Barbie The Album),1,45,0,55,263005,1,2,3.39
Bubblegum,1,1,0,83,17365648,2,2,4.65
Seven (feat. Latto),2,77,1,79,18615260,3,2,3.07
Rush,1,26,1,72,9463490,1,2,2.6
Wanna Do It,1,48,0,45,1894,1,2,2.32
"What Was I Made For? [From The Motion Picture Barbie""]""",1,84,0,90,118692183,1,2,3.7
Springsteen,11,46,0,71,4141160,31,1,4.38
Super Shy,2,78,0,77,11611877,2,2,2.57
Columbia,1,23,0,82,6416353,1,2,3.1
eyes don't lie,1,76,1,71,2570848,2,2,2.51
FUCK UP MY MAKE UP,1,19,1,52,55780,1,2,2.1
Mona Lisa,7,66,0,74,2222327,15,0,3.1
Dollhouse (with Lily Rose Depp),1,64,0,93,112957721,3,2,3.99
Daylight,1,37,0,43,5251,1,2,2.13
Redlight (feat. Teezo Touchdown),3,0,1,61,325311,4,2,2.89
Worship,1,64,0,66,755880,1,2,3.12
Car Keys (Ayla),1,66,0,76,11246962,1,2,2.45
The Legend of Ashitaka - from 'Princess Mononoke',11,44,0,68,1486975,29,0,1.96
vampire,1,5,1,84,49050008,1,2,3.66
Speed Drive (From Barbie The Album),1,67,0,82,6322030,1,2,1.96
"T-Rex (from the Netflix Film Nimona"")""",1,47,0,60,644923,1,2,2.48
Faded,1,21,0,21,488,1,2,2.37
Foreign Escape,1,41,1,41,30249,1,2,2.77
Ard Skellig Village (From 'Witcher 3'),1,37,0,37,5996,4,2,2.42
Barbie World (with Aqua) [From Barbie The Album],1,68,1,84,34297934,1,2,1.82
"One Of The Girls (with JENNIE, Lily Rose Depp)",1,91,0,93,112918137,3,2,4.07
Lucid Dream,1,58,0,72,318020,1,2,3.22
Two people,16,57,0,82,7430490,16,0,4.21
I know it won't work,2,75,0,82,7403257,16,0,4.09
Attention,1,59,1,86,34742256,1,2,4.61
fukumean,6,78,1,85,10342615,15,0,2.08
(It Goes Like) Nanana - Edit,1,75,0,62,1067325,1,2,3.85
Family (with Suzanna Son),1,39,0,94,112995439,3,2,3.06
Pour Your Heart Out (feat. 070 Shake),1,46,0,59,441801,1,2,3.72
Lost at Sea,3,49,0,39,49536,14,0,3.13
Love Will F You Up,1,29,1,28,7683,1,2,3.58
Call Your Mom,19,75,0,82,4379868,21,0,4.64
High,1,26,0,42,8656,1,2,2.67
Hollywood Bowl,14,45,0,39,49536,14,0,4.22
From Persephone,5,49,0,50,136853,9,0,2.89
ecstacy (slowed),1,75,1,60,278024,1,2,1.98
This Is How We Roll,18,40,0,70,5589145,50,1,3.71
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),1,81,1,93,112957721,1,2,3.59
Bruise,3,0,1,61,325144,3,2,2.98
Mona Lisa (Spider-Man: Across the Spider-Verse),1,62,0,75,2223332,1,2,3.1
Not Fair,1,70,0,64,84858,1,2,2.71
"Peso Pluma: Bzrp Music Sessions, Vol. 55",1,68,1,76,18188680,1,2,3.13
Sleep,1,58,0,61,26106,1,2,2.97
Sprinter,1,81,1,80,6598184,1,2,3.81
This Feeling,6,46,1,82,15684530,6,2,2.39
Silence,1,51,0,56,18834,1,2,1.67
Snow On The Beach (feat. More Lana Del Rey),22,72,1,100,145396321,23,0,3.83
Here With Me,2,77,0,79,4684957,9,2,4.04
Do What I Do,1,25,0,19,610,1,2,2.4
Flowers,1,0,0,50,12555,1,2,3.33
All My Life (feat. J. Cole),3,66,1,78,9504357,21,0,3.73
Dance The Night - From Barbie The Album,1,80,0,85,46891061,1,2,2.94
"See You Again - okay okay, la la la part loop",1,54,0,47,25511,1,2,1.03
Energy Vampires,1,0,0,40,138349,1,2,3.76
DIFFERENT,1,59,0,72,963679,2,2,2.53
Forget Me,1,72,0,79,14043382,12,0,3.39
Say Yes To Heaven,1,84,0,88,51821190,2,2,3.48
Granite,3,71,0,78,2822145,12,0,3.75
Hero (feat. Sasha Alex Sloan) [VIP Mix],1,52,0,78,41266350,3,2,3.17
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),1,61,1,84,41176723,1,2,4.34
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",2,60,0,79,12478974,2,2,2.93
A Year Ago,1,67,0,79,20854863,1,2,2.84
Love You Like A Love Song,1,28,0,41,11026,1,2,2.38
From The Start,1,75,0,82,8489170,1,2,2.82
Bubbly,1,49,0,61,26114,1,2,2.05
Nightmares,2,41,1,35,37108,2,2,3.86
Under Your Spell,2,77,0,65,330171,16,0,3.64
Wir haben den Winter überlebt,1,0,1,59,246162,1,2,3.56
By The End Of The Night - southstar Remix,1,48,0,78,13212719,1,2,3.69
Chain$aw (Remix),1,41,0,26,2348,1,2,2.25
The Way You Love Me,30,36,0,60,1956457,44,1,3.1
Headache,1,46,0,59,135959,1,2,3.06
Hot In It (feat. Charli XCX),6,65,0,80,7978695,12,0,2.16
You,1,57,0,66,754907,1,2,2.5
Mermaids,14,51,1,77,7220459,18,0,4.58
The Motto,2,70,0,80,7978695,12,0,2.74
Double Fantasy (with Future),1,69,1,93,112957721,2,2,4.47
Let It Go,1,43,0,33,2505,1,2,2.28
Mangu,9,79,0,68,3646136,10,0,4.35
Big Boy (Sped Up) - Remix,1,0,0,32,92528,1,2,2.4
un x100to,1,75,0,83,7470903,1,2,3.24
Want U Back,1,32,0,25,19649,1,2,2.51
Chemical,1,74,1,86,47720209,1,2,3.06
Coincidence - Sped Up,2,38,0,29,29094,2,2,2.86
Daylight,1,17,0,70,2768544,1,2,3.54
